ID,Title,Authors,Main Author,Year,Abstract,Study Link,Health Indicator,Sensor Position,Sensor Type,Physiological Signal,Advantage,Latency,Accuracy
131,Wireless Battery-Free Body Temperature Sensing Device for Key Workers,"Rigi, Amin and Mugisha, Andrew J. and Arefian, Ahmed and Khan, Sadeque Reza and Mitra, Srinjoy","Rigi, Amin et al.",2022,"We propose a battery-free temperature monitoring device that can be fitted inside the ear for an accurate body temperature measurement of a subject. The proposed application consists of two primary systems: 1) a battery-free temperature sensing ultra-high-frequency radio frequency identification sensory tag and 2) an auxiliary energy harvesting system, which enhances the sensing device's measurement accuracy and precision. The system can record changes in the localized body temperature of authenticated users with an average latency of 501 ms. The assembly demonstrated a temperature average accuracy of ± 0.14 °C operating at 866 MHz. The system performance demonstrated high stability and repeatability of reported temperature measurements. The device's dimension is a form factor that can easily fit in a front shirt pocket, with a wire tethered earbud temperature sensor. The system is developed to make sensor measurements without requiring a battery for the device. Measurements are made remotely as users pass by checkpoints installed throughout a building. The device is a cost-effective solution for monitoring body temperature in work environments.",https://ieeexplore.ieee.org/document/9628053,Body Temperature,Ear Canal,Thermal,Body Temperature,"Non-invasive, Long Time Wearability, Continuous, Remote",501ms,±0.14 °C
134,Smart Biofeedback Earbud Achieved by SiP with 3D Composite Polymer Package,"Tseng, Kueihao and Lin, ChihLung and Wang, Kaihung and Chang, Harrison","Tseng, Kueihao et al.",2022,"The world’s first smart in-ear bud packaged in polymer is presented in this paper. This in-ear bud is capable of detecting ECG (electrocardiography) signal, heart rate, as well as body temperature, from human ear canal. The bud is designed to be connected to a typical wireless ear-set, which transmits signal through Bluetooth. It is assembled with advanced packaging technologies, including SiP (system in package) module for system board miniaturization, flexible substrate for conforming to the 3D structure, and molding with composite polymer material by multiple injections for bio contact. The composite material is liquid in raw material form, yet elastic and solid after vulcanization. This material is heterogeneous integrated, such that it encapsulates the functional active and passive parts, allows the bio signals to be detected. The earbud conforms to the exterior ear canal, and is friendly to sensitive human skin.In this paper, this smart earbud is connected to a wearable Bluetooth docking box, and live demo is performed to transmit the detected biofeedback signal to an App on an android phone or PC. The user plugs this smart earbud into the left (heart side) ear canal and touching the metal electrode of BT docking by the left hand finger. Biofeedback signal of stable and repeatable PQRST wave, heart rate, and body temperature are detected and sent, and results are shown successfully. The test data of user trial is compared with another set of data from a leading consumer watch, tested by the same users. Very similar characteristics of the waveforms from the smart earbud, and those from the benchmark devise, are observed. It is expected that this innovative smart earbud can be integrated into similar consumer wearable electronics, which can provide real time, accurate, and convenient way of bio sign monitoring for the consumers.",https://ieeexplore.ieee.org/document/9816547,Body Temperature,Ear Canal,"Electrical, Thermal","Beats Per Minute (BPM), Electrocardiogram (ECG), Body Temperature",Long Time Wearability,,±0.2°C
135,VitalPod: A Low Power In-Ear Vital Parameter Monitoring System,"Schilk, Philipp and Dheman, Kanika and Magno, Michele","Schilk, Philipp et al.",2022,"Monitoring of physiological parameters support early detection, prevention, and management of adverse health-care related events. In-ear wearable sensor nodes that track changing bio-physiological signals can be advantageous over traditional monitoring methods in being compact, unobtrusive, and inconspicuous, increasing their appeal. However, in-ear ergonomics place rigid constraints on a device's physical design and size, limiting battery lifetime and restricting the incorporation of multiple sensor modules. This work presents the design and implementation of the wireless hearable VitalPod, an in-ear multi-vital sign monitor that measures heart rate (HR), respiratory rate (RR), blood oxygenation (SpO2), skin temperature and activity. The VitalPod is designed with low power and energy efficiency in mind, using novel sensing integrated circuits and processing modules that achieve operational longevity of up to 42 hours using a small form factor 32mAh rechargeable Liion polymer battery. It has a compact design and form factor, similar to many commercial wireless earbuds, featuring hardware required for wireless music playback using a standard balanced armature driver in addition to vital sign monitoring sensors. Experimental results show high performance in estimating vital signs for HR (-0.061± 1.12 beats per minute), RR (0.87±1.48 breaths per minute) and change in SpO2 (0.21±0.82 %). Additionally, the presented work also evaluates the positional placement of sensors in the ear to reduce the effect of motion induced artifacts.",https://ieeexplore.ieee.org/document/9941646,Body Temperature,Ear Canal,"Photo, Mechanical, Thermal, Acoustic","Photoplethysmography (PPG), Beats Per Minute (BPM), Body Temperature, Breath per minute (BRPM)",Energy-efficient,,
136,Detecting Physiological Responses Using Multimodal Earbud Sensors,"Rahman, Md Mahbubur and Xu, Xuhai and Nathan, Viswam and Ahmed, Tousif and Ahmed, Mohsin Yusuf and McCaffrey, Dan and Kuang, Jilong and Cowell, Trevor and Moore, Julia and Mendes, Wendy Berry and Gao, Jun Alex","Rahman, Md Mahbubur et al.",2022,"Continuous stress exposure negatively impacts mental and physical well-being. Physiological arousal due to stress affects heartbeat frequency, changes breathing pattern and peripheral temperature, among several other bodily responses. Traditionally stress detection is performed by collecting signals such as electrocardiogram (ECG), respiration, and skin conductance response using uncomfortable sensors such as a chestband. In this study, we use earbuds that passively measure photoplethysmography (PPG), core body temperature, and inertial measurements. We have conducted a lab study exposing 18 participants to an evaluated speech task and additional tasks aimed at increasing stress or promoting relaxation. We simultaneously collected PPG, ECG, impedance cardiography (ICG), and blood pressure using laboratory grade equipment as reference measurements. We show that the earbud PPG sensor can reliably capture heart rate and heart rate variability. We further show that earbud signals can be used to classify the physiological responses associated with stress with 91.30% recall, 80.52% precision, and 85.12% F1-score using a random forest classifier with leave-one-subject-out cross-validation. The accuracy can further be improved through multi-modal sensing. These findings demonstrate the feasibility of using earbuds for passively monitoring users' physiological responses.",https://ieeexplore.ieee.org/document/9871569,Body Temperature,Ear Canal,"Photo, Mechanical, Thermal","Photoplethysmography (PPG), Body Temperature, IMU Signals",Long Time Wearability,,
145,The Modern Hearing Aid: A Platform for Health and Wellness Tracking,"Schroeder, Mark J. and Olson, Kyle D. and O’Brien, Parker and Lin, Andy S.","Schroeder, Mark J. et al.",2023,"An existing receiver-in-canal hearing aid was used as a platform upon which to build a health and wellness sensor system. Four biometric signals, all vital signs, were integrated into the system. The biometric signals consist of body temperature, oxygen saturation, heart rate and respiration rate. The system allows for measurements to be acquired both automatically and on-demand while being tracked in a smartphone app. All sensor modalities were evaluated for accuracy and each met standards that have been set by either governing bodies or the research community. Wearing the in-canal device for several hours was well tolerated by all users. Power consumption during measurement acquisition was significantly elevated. However, since readings are taken only intermittently, additional battery charging was not required throughout the day. Since a large portion of the hearing aid-wearing community are elderly and more prone to the negative effects of illness, the evolution of the hearing aid to provide real-time monitoring and tracking of vital signs is both logical and prudent. Early detection of deteriorating health allows users and their caregivers to seek medical intervention sooner which could potentially reduce the likelihood and severity of a negative outcome.",https://ieeexplore.ieee.org/document/10331528/,Body Temperature,Ear Canal,"Photo, Mechanical, Thermal","Photoplethysmography (PPG), Body Temperature","Long Time Wearability, Energy-efficient",, ±0.49 °C
